## PROGRESS LOG — יד תמר
## Append-only. Never rewrite. Rotate to PROGRESS_OLD_<date>.txt when large.
## Format: [YYYY-MM-DD] session-id | what changed | files touched | result

[2026-06-28] scaffold | Applied claude-md-arch scaffold to project | CLAUDE.md (upgraded), CLAUDE/architecture.md, CLAUDE/decisions.md, CLAUDE/conventions.md, CLAUDE/tasks.md, PROGRESS.txt, FOLLOWUPS.md, BACKLOG.md | All scaffold files created. CLAUDE.md restructured as index with golden rules and detail-doc pointers.
[2026-06-24] initial | Initial commit: YadTamar digital stories store | index.html, admin.html, js/data.js, css/main.css, all snapshot/wireframe files | MVP v1.1 — store wizard, admin panel, 428 children's stories + 24 adult discs, tiered pricing engine.

[2026-07-02] postgres-migration | Replaced flat SQLite schema with full 11-table PostgreSQL schema per CLAUDE/erd.md; admin login now bcrypt+admin_users table instead of plaintext .env compare | server/db/schema.sql (new), server/db/seed-catalog.js (new), server/db/seed-admin.js (new), server/db/seed-fake-data.js (new, DEMO data — must be deleted before production), server/db/index.js (rewritten over pg, all functions now async), server/routes/orders.js, server/routes/leads.js, server/routes/admin.js (await + UUID ids, login vs admin_users), package.json (removed better-sqlite3, added pg+bcrypt), .env/.env.example (PG* vars), CLAUDE/architecture.md, CLAUDE/decisions.md (ADR-006) | Real catalog (categories/stories/pricing) seeded from js/data.js via vm (file untouched); google_drive_file_id populated for 433/438 stories from files/list_from_drive.csv (5 _GEMARA stories still placeholder — no matching file supplied). Payment gateway, real file-sharing, and real email sending intentionally NOT implemented this round. E2E-tested: checkout, gift lead, admin login, KPI, PATCH notes/fulfillment_status/gift_sent, DC-06 trigger (paid→pending blocked).

[2026-07-02] live-catalog-api | Store catalog (index.html) now fetches GET /api/catalog (Postgres stories/categories) instead of the static js/data.js STORIES/CATEGORIES arrays | server/routes/catalog.js (new), server/db/index.js (new getCatalog(), simplified createOrder to look up stories directly by UUID instead of guessing story_code from client-side id patterns), server/index.js (mounted /api/catalog), index.html (async DOMContentLoaded, loadCatalog() with loading/error states, all 7 STORIES/CATEGORIES usages switched to liveStories/liveCategories), CLAUDE.md (golden rule #5 partial-update note), CLAUDE/architecture.md, FOLLOWUPS.md (admin.html vs index.html catalog source divergence) | Displayed fields unchanged (storyCode/title/category/duration); google_drive_file_id, is_active, timestamps deliberately excluded from the public API response. admin.html intentionally left on static js/data.js (out of scope). E2E-tested: /api/catalog returns 438 active stories + 7 categories, checkout with real UUIDs creates correct order_items, malformed story ids handled gracefully.

[2026-07-03] fulfillment-webhook | webhook יוצא בצד שרת (Google Apps Script), מופעל אוטומטית מיד בסיום POST /api/orders (לכל אמצעי תשלום, כולל paymentType+requestType בגוף הבקשה); admin.html "שלח פולפילמנט" נשאר כמסלול retry ידני לאותה פונקציה | server/services/fulfillment.js (חדש), server/db/index.js (getOrderForFulfillment/recordFulfillmentAttempt/Success/Failure), server/routes/orders.js (מפעיל triggerFulfillment אחרי createOrder, ממתין עד תשובה), server/routes/admin.js (PATCH /orders/:id כ-retry, מחזיר תוצאה אמיתית), admin.html (retryFulfillment משקף COMPLETED/FAILED), .env.example + .env (FULFILLMENT_WEBHOOK_URL/SECRET, הוסר GOOGLE_SCRIPT_URL), FOLLOWUPS.md (פערי ADULT_COLLECTION, אישור תשלום בנקאי מאוחר, ושרת Express שלא רץ באופן קבוע) | fetch מובנה + AbortController (60s), crypto.randomUUID() ל-requestId. FULL_LIBRARY שולח fileIds:[] לפי PRD §13 (שיתוף Master folder קבוע, לא שכפול 428 קבצים). הבחנת "שתף בפועל מול צור תיקייה בלבד" מבוססת על paymentType בתוך ה-Apps Script החיצוני, לא בקוד שלנו. POST /api/orders ממתין עד 60s לפני שמחזיר תשובה ללקוח — תואם ל-UX הקיים (submitOrder כבר async עם מסך "שולח..."). אגב עבודה זו התגלה ששרת ה-Express לא היה פעיל כלל (רק Postgres) — הופעל ידנית ברקע לצורך פיתוח/בדיקה.

[2026-07-06] email-infra | תשתית שליחת מייל גנרית דרך Gmail SMTP (nodemailer, כבר היה בין ה-dependencies), עדיין לא מחוברת לזרימות עסקיות — רק המנגנון עצמו, לפי החלטת scope מפורשת של המשתמש | server/services/email.js (חדש: getTransporter + sendRawEmail גנרי שלא זורק ותמיד מתעד ל-DB, + 5 עטיפות typed לפי enum ה-ERD: sendPurchaseConfirmation/sendFileDelivery/sendGiftStory/sendOfficeNotification/sendErrorNotification), server/db/index.js (logEmail — INSERT ל-email_logs), .env.example (MAIL_FROM_NAME חדש + הערה על App Password של Gmail) | 5 סוגי המייל תואמים בדיוק ל-CLAUDE/erd.md §10 (EmailLog) ו-CLAUDE/prd.md §16. אף route לא קורא לפונקציות האלה עדיין — orders.js/leads.js/admin.js/fulfillment.js לא שונו. נקודות השילוב המועמדות שנמצאו במחקר תועדו ב-FOLLOWUPS.md. **לא נבדק עדיין מול Gmail אמיתי** — אין עדיין App Password אמיתי ב-.env; ראה FOLLOWUPS.md לפני production.

[2026-07-12] fulfillment-contract-match | התאמת server/services/fulfillment.js לחוזה המדויק של ה-Apps Script הקיים (סופק ע"י בעל הסקריפט): הוספת permission:'viewer' לגוף הבקשה, קליטת התשובה העשירה (requestStatus/sharingStatus/externalFolderId/sharedEmail/itemResults/alreadyProcessed), והוצאת ADULT_COLLECTION מהיקף האינטגרציה (הסקריפט לא תומך בו) | server/services/fulfillment.js (guard ADULT_COLLECTION בתחילת triggerFulfillment; URL נבנה מ-FULFILLMENT_SCRIPT_ID במקום URL מלא; permission קבוע; מעביר את כל שדות התשובה ל-DB), server/db/index.js (recordFulfillmentSuccess/Failure כותבים request_status/sharing_status מהתשובה בפועל, לא hardcoded; עמודות חדשות external_folder_id/shared_email/item_results נכתבות), server/db/schema.sql (sharing_status CHECK + 'WAITING_MANUAL', עמודה חדשה item_results JSONB), .env.example + .env (FULFILLMENT_WEBHOOK_URL הוחלף ב-FULFILLMENT_SCRIPT_ID + FULFILLMENT_SCRIPT_VERSION תיעודי), FOLLOWUPS.md (סגירת פער ADULT_COLLECTION fileIds; עדכון פער "אישור תשלום בנקאי מאוחר" — עכשיו מיוצג נכון כ-WAITING_MANUAL ב-DB, אך פעולת ה"אשר תשלום ושלח שוב" עדיין לא נבנתה) | הרצתי ALTER TABLE ישירות מול ה-DB הפעיל (DEV) כדי להוסיף את ה-constraint/עמודה בלי לאבד נתונים קיימים — schema.sql מעודכן להתקנה מאפס בעתיד. FULFILLMENT_SCRIPT_ID/SECRET/VERSION בפועל עדיין לא נמסרו ("עוד מעט") — ריקים כרגע ב-.env. אומת מול תיעוד Google הרשמי ש-deployment ID (לא "גרסה") הוא מה שקובע את ה-URL; FULFILLMENT_SCRIPT_VERSION הוא תיעודי בלבד ולא נקרא בקוד. נותר לבדוק end-to-end מול stub מקומי לפני שה-ID האמיתי יתקבל.

[2026-07-12] fulfillment-url-revert | חזרה לאחסון FULFILLMENT_WEBHOOK_URL כ-URL מלא, במקום לבנות אותו מ-FULFILLMENT_SCRIPT_ID+VERSION (שהוכנס באותו יום ב-fulfillment-contract-match) | server/services/fulfillment.js (url נקרא ישירות מ-FULFILLMENT_WEBHOOK_URL, בוטלה שורת בניית ה-URL מ-scriptId), server/db/index.js (עדכון הערה בלבד), .env.example (חזרה לשורה אחת FULFILLMENT_WEBHOOK_URL=), .env (הוחלף SCRIPT_ID/VERSION ב-URL מלא שנבנה מה-ID שכבר היה קיים בקובץ) | Why: העדפת המשתמשת לאחסן את הכתובת המלאה כפי שנמסרה מבעל הסקריפט, בלי היגיון פירוק/בנייה נוסף בצד הקוד. שאר עבודת fulfillment-contract-match (guard ADULT_COLLECTION, permission:'viewer', קליטת sharingStatus/itemResults/וכו') לא נגעה — לא קשורה לצורת אחסון ה-URL. אם סבב עתידי שוב ישקול לבנות URL מ-deployment ID, זו כבר הוחלטה פעמיים בכיוון ההפוך — לא "לתקן" בלי לשאול.

[2026-07-13] fulfillment-two-stage-sharelib | פיצול הפולפילמנט לצינור דו-שלבי: שלב 1 (הסקריפט הקיים, ללא שינוי בחוזה) יוצר תיקיית Drive + מעתיק קבצים ומחזיר folder ID + החלטת שיתוף-מיידי/WAITING_MANUAL; שלב 2 (shareLib, ספרייה נפרדת שהמשתמשת מסרה את קוד המקור שלה) משתף בפועל את התיקייה עם הלקוח ושולח מייל, עם אימות per-customer (token = MD5(SECRET+email), לא ה-SECRET עצמו) | apps-script/share-lib.gs (חדש — עותק-ייחוס של shareLib כפי שנמסר, doGet כפול שהיה בקוד המקורי צומצם לאחד בעותק שבריפו, שום לוגיקה אחרת לא שונתה), server/services/fulfillment.js (triggerFulfillment פוצל ל-callFolderCreationWebhook + callShareWebhook, נקרא שלב 2 רק כשההחלטה משלב 1 אינה WAITING_MANUAL; FULL_LIBRARY מדלג על שלב 1 לגמרי וקורא לשלב 2 ישירות עם MASTER_LIBRARY_FOLDER_ID), server/db/index.js (עדכון הערות בלבד — recordFulfillmentSuccess/Failure כבר תמכו בשדות הדרושים, רק מקור השדות השתנה לשתי קריאות נפרדות), .env.example + .env (SHARE_WEBHOOK_URL/SHARE_CUSTOMER_EMAIL/SHARE_CUSTOMER_TOKEN חדשים, ריקים עד לפריסה בפועל), CLAUDE/erd.md §9+§16, CLAUDE/prd.md §12-13 (תיאור שני שירותים נפרדים במקום שירות מאוחד; גם תוקן ה-Sharing Status enum שכבר היה stale), FOLLOWUPS.md (נקודה פתוחה חדשה: MASTER_LIBRARY_FOLDER_ID עדיין לא נמסר; עדכון ל-P0 הקיים שהפיצול לא פותר את בעיית ה-HTML בשלב 1) | לפי הנחייתה המפורשת של המשתמשת: לוגיקת ה-WAITING_MANUAL (מבוססת paymentType) נשארת בסקריפט הקיים ולא שוכפלה — השרת רק מכבד את ההחלטה. shareLib טרם נפרס בפועל (אין לי גישה ל-script.google.com) — SHARE_WEBHOOK_URL/SHARE_CUSTOMER_TOKEN עדיין ריקים ב-.env, ממתינים למשתמשת. MASTER_LIBRARY_FOLDER_ID (עבור FULL_LIBRARY) הוא נקודה פתוחה במפורש לפי בקשתה, לא נפתר בסבב הזה. שלב 1 עדיין תקוע ב-P0 (מחזיר HTML במקום JSON) — עצמאי מהשינוי הזה, לא תוקן.

[2026-07-13] sharelib-live-deploy | shareLib נפרס בפועל לראשונה ונבדק E2E אמיתי (שיתוף קובץ אמיתי + מייל אמיתי) — עד עכשיו היה עותק-ייחוס בלבד. התגלה ש-clasp מחובר בפועל תחת yadtamar613@gmail.com (גישת צפייה בלבד לפרויקט shareLib המקורי של silver.chaya) — לפי הנחייה מפורשת ("הכל צריך לעבור דרך yadtamar613"), נוצר פרויקט Apps Script עצמאי חדש ("YadTamar-ShareLib", scriptId 1sf1LDC0eaSm67nlE633-GJqwxUCs59Ck-9Q1RNBiBXAYsDXITeZnkh9b) עם אותו קוד בדיוק, בבעלות מלאה של yadtamar613 | apps-script/share-lib.gs (עודכן LOG_SPREADSHEET_ID לגיליון חדש בבעלות yadtamar613 — הישן היה בבעלות silver.chaya וגרם לקריסה לא-נתפסת ב-writeSummaryLog; עודכן SCRIPT_EDITOR_URL; עודכנה הערת התיעוד הראשית), apps-script/share-lib.appsscript.json (חדש — עותק-ייחוס של המניפסט הפרוס: webapp access=ANYONE_ANONYMOUS, executeAs=USER_DEPLOYING), .env (SHARE_WEBHOOK_URL מולא ב-URL של ה-deployment הפעיל; SHARE_CUSTOMER_TOKEN מולא בטוקן שחושב; SHARE_CUSTOMER_EMAIL נשאר כפי שהיה) | פרויקט Apps Script חדש הדורש scopes רגישים (Drive/Gmail/Sheets) לא יכול לרוץ כ-Web App אנונימי לפני אישור ידני חד-פעמי בדפדפן (Review Permissions) תחת חשבון yadtamar613 — בוצע ע"י המשתמשת. גם התגלה ש-deployments שנוצרו *לפני* אותו אישור נשארים "תקועים" (403/שגיאת מסמך) גם אחרי שהאישור ניתן — נדרש ליצור deployment חדש אחרי האישור (הישן נמחק). ה-deployment הסופי: "yad-tamar-integration-v3-final". Script Properties (ALERT_OWNER_EMAIL, ADMIN_EMAIL = silver.chaya@gmail.com) הוגדרו בהצלחה. E2E אומת: JSON תקין עם success:true, שיתוף Drive בפועל, ומייל אמיתי התקבל בתיבת silver.chaya@gmail.com. לא נגעתי ב-gas-fulfillment (שלב 1) ולא בכפילות השיתוף הידועה שם — לפי אישור מפורש של המשתמשת. MASTER_LIBRARY_FOLDER_ID ו-P0 של שלב 1 (HTML במקום JSON) נשארים פתוחים כפי שהיו, לא בהיקף הסבב הזה.

[2026-07-13] prd-sync-sharelib | עדכון CLAUDE/prd.md §12 בבקשת המשתמשת ("לעדכן PRD בהחלטות שהתעדכנו") — הוגבל במפורש רק לנושא שדובר עליו היום (shareLib), לא סקירה מקיפה של כל היסטוריית הפרויקט | CLAUDE/prd.md (§12: הערת עדכון חדשה — shareLib פרוס בפועל ומאומת E2E, רץ תחת yadtamar613@gmail.com ולא תחת חשבון נפרד רב-לקוחות כפי שטיוטות קודמות הניחו) | לא נגעתי בשאר הפערים בין PRD למצב הפרויקט בפועל (אימות אדמין JWT, מעבר Postgres, קטלוג חי, תשתית מייל לא-מחוברת וכו') — המשתמשת ביקשה במפורש להשאיר את אלה בחוץ בסבב הזה.

[2026-07-13] sharelib-server-restart | בדיקה של "מה עוד צריך לעדכן באתר כדי שישתמש ב-shareLib החדש" העלתה שהקוד כבר תואם במלואו לחוזה של share-lib.gs (פרמטרי doGet זהים ל-callShareWebhook) ושאין URL מוקשח בשום קובץ אחר — אבל תהליך ה-Node הרץ (עלה 13:27) קדם לעדכון ה-.env הקודם (SHARE_WEBHOOK_URL/SHARE_CUSTOMER_TOKEN, נערך 15:46), כך שרץ בפועל עם ערכים ישנים כי dotenv נטען פעם אחת בעליית התהליך | server/index.js (לא שונה — אומת רק ש-dotenv.config() נטען פעם אחת בשורה 1) | הפעולה: הופל תהליך ה-Node הישן (PID 1315428) והורם מחדש (`nohup node server/index.js > server.log 2>&1 &`, PID חדש 1329463) כדי לטעון את ה-.env המעודכן. אומת: server.log מציג עלייה תקינה ללא שגיאות. **עדיין לא בדוק E2E מלא מהאתר** — אף סוג הזמנה לא באמת מגיע ל-shareLib כרגע: STORY_SELECTION חסום ע"י ה-P0 הקיים בשלב 1 (HTML במקום JSON), FULL_LIBRARY חסום כי MASTER_LIBRARY_FOLDER_ID עדיין ריק. הריסטרט הכרחי אך לא מספיק ל-E2E מלא — שני החסמים האלה נשארים פתוחים כפי שהיו, לא טופלו בסבב הזה.

[2026-07-13] stage1-p0-reverify | בבקשת המשתמשת לתקן את ה-P0 של שלב 1 (gas-fulfillment, מחזיר HTML במקום JSON) "כמו שתיקנו את shareLib" — בדיקה חוזרת בפועל גילתה שהבאג כבר לא קיים, בניגוד להנחת המוצא | לא נדרש שום שינוי קוד ב-gas-fulfillment או ב-server/services/fulfillment.js | בוצעו 3 קריאות אבחון ישירות מול FULFILLMENT_WEBHOOK_URL הנוכחי, כל אחת בהיקף מינימלי ורק אחרי אישור מפורש של המשתמשת: (1) fileId מזויף לגמרי — חזר JSON תקין (COPY_FAILED, כצפוי); (2) fileId אמיתי אחד מהקטלוג (YT-0001) + BANK_TRANSFER — חזר JSON תקין עם sharingStatus=WAITING_MANUAL, תיקייה נוצרה וקובץ הועתק בפועל; (3) אותו fileId + CREDIT_CARD — חזר JSON תקין עם sharingStatus=SHARED (שיתוף אוטומטי דרך shareFileWithUser הפנימי של הסקריפט, DriveApp ישיר, ללא מייל). לבסוף הוזמנה הזמנת בדיקה אמיתית אחת דרך POST /api/orders בפועל (YT-0025, order_id 8ab99b23-b2e5-4c72-8a48-3f83f01d2916) — עברה קצה-לקצה בהצלחה: fulfillment_requests.request_status=COMPLETED, sharing_status=SHARED, external_folder_id נוצר, וגם שלב 2 (shareLib) נקרא בפועל ע"י triggerFulfillment (כי sharingDecision מ-שלב 1 אינו WAITING_MANUAL) ושלח את מייל ההתראה האמיתי. התגלה גם: קוד gas-fulfillment עצמו (הערת v4 בקוד) כבר הסיר בעבר את התלות הישנה בספריית ShareLib החיצונית מנתיב השיתוף האוטומטי שלו בגלל אותה שגיאת "אין הרשאה למסמך" שגילינו היום ב-shareLib, והחליף אותה בשיתוף DriveApp ישיר — כנראה זה מה שכבר תיקן את ה-P0 בעבר מבלי שהתיעוד עודכן. תוצרי לוואי לא-מזיקים בדרייב של yadtamar613: 3 תיקיות בדיקה (diag-test) ועוד הזמנת בדיקה אמיתית אחת (YT-0025) ב-DB — לא נוקו אוטומטית, טרם התקבלה החלטה עם המשתמשת. הכפילות הידועה (שלב 1 משתף בעצמו + שלב 2 משתף שוב ל-CREDIT_CARD) לא נגעה — כבר תועדה ואושרה כ"תקין כרגע" בסבב קודם. MASTER_LIBRARY_FOLDER_ID (FULL_LIBRARY) נשאר פריט פתוח נפרד, לא נבדק/תוקן בסבב הזה. בהמשך לסבב: המשתמשת ביקשה במפורש להשאיר את תוצרי הבדיקה (3 תיקיות דרייב + הזמנת YT-0025) ללא ניקוי.

[2026-07-13] server-systemd-supervisor | המשתמשת דיווחה שהאתר לא נגיש (ERR_CONNECTION_RESET בדפדפן) | server/index.js לא שונה בקוד — הבעיה הייתה תפעולית: התהליך רץ ידנית דרך nohup (ראה sharelib-server-restart למעלה), בלי מפקח, בדיוק כמו שתועד מראש כפער ב-FOLLOWUPS.md ("[P2] deploy"). בדיקה הראתה שהשרת עצמו והפורט 3000 היו בריאים באותו רגע (curl מקומי וגם דרך ה-IP הציבורי 167.86.83.200:3000 החזירו 200) — כלומר ההפסקה שהמשתמשת חוותה הייתה כנראה קריסה/הפסקה קודמת של אותו תהליך לא-מפוקח, בדיוק התרחיש שה-FOLLOWUPS כבר צפה | הפעולה: נוצר שירות systemd אמיתי (`/etc/systemd/system/yadtamar.service`), הוחלף התהליך הידני בשירות המפוקח (`systemctl enable --now`), ואומת בפועל עם מבחן קריסה מכוון (`kill -9` לתהליך) שה-systemd מרים אותו מחדש תוך כ-3 שניות והאתר חוזר לענות 200 בלי התערבות ידנית. סומן FIXED ב-FOLLOWUPS.md. תפעול מעתה: `sudo systemctl restart|stop|status yadtamar.service` במקום nohup.
